,Date,Open,High,Low,Close,Adj Close,Volume
,2020-10-23,284.769989,284.910004,281.779999,284.73999,283.223358,24658500
,2020-10-26,282.380005,285.299988,276.76001,280.470001,278.976105,38421100
,2020-10-27,281.5,283.51001,280.200012,282.660004,281.154449,30559100
,2020-10-28,278.01001,278.640015,271.380005,271.640015,270.193176,53413500
,2020-10-29,273,279.48999,272.519989,276.390015,274.917847,43246300
,2020-10-30,274.339996,275.23999,267.070007,269.380005,267.945221,65838300
,2020-11-02,271.850006,273.519989,266.970001,269.980011,268.542023,39987400
,2020-11-03,271.959991,276.820007,270.839996,274.649994,273.187103,43604100
,2020-11-04,283.589996,288.769989,281.869995,286.910004,285.381836,75728200
,2020-11-05,293.529999,295.390015,292,294.390015,292.822021,52054200
,2020-11-06,293.709991,295.359985,289.829987,294.609985,293.040833,40959800
,2020-11-09,297.649994,299.140015,288.119995,288.589996,287.052887,86537100
,2020-11-10,285.170013,286.660004,280.619995,283.420013,281.910431,69024900
,2020-11-11,286.029999,290.25,283.380005,289.76001,288.216644,36102900
,2020-11-12,290.76001,292.070007,287.25,288.399994,286.863892,34414600
,2020-11-13,290.170013,291.570007,287.869995,290.929993,289.380402,24806900
,2020-11-16,290.619995,293.51001,289.98999,293.200012,291.638336,30168400
1,2020-11-17,293.399994,293.73999,291.609985,292.269989,290.713226,21843500
2,2020-11-18,291.700012,293.369995,290.019989,290.109985,288.564758,28069600
3,2020-11-19,289.540009,292.700012,288.850006,292.380005,290.822693,22718400
4,2020-11-20,292.299988,293.070007,290.290009,290.380005,288.833344,25907300
5,2020-11-23,291.410004,292.75,288.070007,290.390015,288.843323,26875600
6,2020-11-24,291.48999,294.980011,289.630005,294.470001,292.90155,24516800
7,2020-11-25,295.570007,296.940002,294.589996,296.279999,294.701904,23326800
8,2020-11-27,298.309998,300.170013,297.899994,299.01001,297.417389,17163100
9,2020-11-30,299.339996,299.970001,294.779999,299.619995,298.024109,27836200
10,2020-12-01,301.970001,305.140015,300.829987,303.459991,301.843658,27521300
11,2020-12-02,302.25,304.200012,300.350006,303.850006,302.231598,23620000
12,2020-12-03,304.170013,305.880005,303.529999,304.279999,302.659302,22828700
13,2020-12-04,304.329987,305.670013,303.630005,305.519989,303.89267,19332100
14,2020-12-07,305.709991,307.630005,305.519989,307.25,305.613495,20851000
15,2020-12-08,306.76001,308.600006,304.950012,308.290009,306.64798,18341500
16,2020-12-09,308.070007,308.359985,300.209991,301.309998,299.705109,48839300
17,2020-12-10,299.209991,303.679993,298.089996,302.519989,300.908661,27519500
18,2020-12-11,300.809998,301.980011,298.470001,301.850006,300.242279,26760400
19,2020-12-14,303.079987,306.049988,303.01001,304.040009,302.420593,28804800
20,2020-12-15,306.369995,307.290009,304.109985,307.290009,305.65329,25709000
21,2020-12-16,307.700012,309.790009,306.619995,308.980011,307.33429,25461900
22,2020-12-17,310.630005,311.23999,309.390015,311,309.343506,23730500
23,2020-12-18,311.660004,311.980011,307.609985,310.059998,308.408508,41173400
24,2020-12-21,306.459991,309.470001,303.600006,308.920013,307.831573,37095500
25,2020-12-22,309.850006,310.709991,306.850006,309.76001,308.668579,26176300
26,2020-12-23,309.809998,310.179993,308.040009,308.200012,307.114136,21201300
27,2020-12-24,308.470001,310.019989,308.390015,309.559998,308.469299,16785000
28,2020-12-28,312.25,313.170013,310.359985,312.679993,311.578339,22497700
29,2020-12-29,314.049988,314.690002,312.029999,312.959991,311.8573,25871900
30,2020-12-30,314.160004,314.48999,312.329987,312.970001,311.86731,18138100
31,2020-12-31,312.869995,314.23999,311.76001,313.73999,312.634552,21611400
32,2021-01-04,315.109985,315.290009,305.179993,309.309998,308.220184,45305900
33,2021-01-05,308.290009,312.140015,308.290009,311.859985,310.7612,29323400
